hoek , punt
streekplan , plan
perron , kansel
drachttijd , toestand
vloot , vloot
lofredenaar , redenaar
zengen , droogleggen
groenteman , koopman
linkse , figuur
terminus ad quem , beëindigen
ezelsoor , oor
barnevelder , gevogelte
vooruitkomen , beter
overplanten , voortbewegen
bek , muil
voorarrest , aanhouding
demonstratie , protest
werking , uitwerking
montessorischool , instelling
zetje , duw
schildpad , stof
abracadabra , toverspreuk
voorspelbaarheid , vastigheid
dubbele moraal , ethiek
provincieraad , directoraat
patriarchaat , betrekking
bonboekje , boekje
kleinigheidje , geschenk
aanvoerder , meesteres
Eutheria , klasse
kraker , figuur
versoepeling , alteratie
condenseren , concentreren
zwarte lijst , lijst
verschalken , grijpen
versoberen , veranderen
lichtpunt , teken
Mac , regenjas
bedrijfschap , groep
gemsbok , berggeit
CITO , instelling
insubordinatie , oppositie
nova , sterretje
raffineren , zuiveren
purgans , medicijn
overgaan , overlijden
jachtopzichter , beheerder
tragiek , hoedanigheid
oudoom , verwant
binden , aansluiten
vervoerder , entrepreneur
toestemmen , reageren
langsgaan , verplaatsen
zaadkiem , micro-organisme
muteren , keren
aambeeld , blok
voorschrift , bevel
email , finish
vastendag , heiligendag
vitriool , zuur
tipi , tent
kandijsuiker , snoep
faculteit , macht
notificatie , dictum
blower , waterzoogdier
ascendant , taaluiting
welp , padvinder
financiën , economie
opgebruiken , uitputten
perscensuur , censuur
zitvlak , bibs
sint-jakobsschelp , schelp
opwrijven , zuiveren
koesteren , blieven
FM , frequentie
corvee , werk
voortbrengen , leiden
kascheque , betaalcheque
cardanische , apparaat
roteren , rondwentelen
Ontwikkelingspsychologie , uitgroeien
palm , palm
lijden , woede
oorwarmer , uitsteeksel
vilt , textiel
investering , het wezen
bronvermelding , vermelding
mandekking , afweer
tijdsindeling , idee
nijd , kinnesinne
pofmouw , hoes
steengruis , natuursteen
papyrus , zegge
promiscuïteit , lijfsgemeenschap
opblazen , opzetten
stemgedrag , gedrag
rolkraag , T-shirt
melange , mix
anastigmaat , lens
constipatie , imperfectie
ruw spel , luchtsprong
waken , opblijven
spinnen , snorren
peilglas , pijp
kurk , dobber
desk , tafel
herstellen , doen
appelboom , boom
atletiek , sport
ambiguïteit , gezegde
afsteken , voeren
waterpoort , loop
levensstijl , modus
grens , mate
zelfmoord plegen , doden
expeditie , campagne
gouw , gebied
schoorsteenpijp , leiding
openingswedstrijd , match
moor , gedierte
meubilair , meubilair
verliezen , mislopen
proloog , inleiding
mystiek , aura
onafhankelijkheidsverklaring , verklaring
vloeibare stikstof , cryogene
Bosniër , onderdaan
zelfvergoding , verwaandheid
etiquette , gedragscode
els , priem
tournedos , steak
proeflezen , verzekeren
PPR , partij
loopwerk , mechaniek
gebrom , geluid
parkeren , zetten
afzondering , scheiding
uitrusten , bereiden
Baai van Bengalen , inham
kleuren , passen
rechtsbijstand , hulpverlening
visser , vakman
doorslaan , slaan
opstopping , opeenhoping
fascisme , ideologie
bewindvoerder , staatsdienaar
frisbee , speeltje
merrieveulen , merrie
omloop , herhaling
conjunctuur , toestand
krabber , gereedschap
aarmunt , kruizemuntkruid
tweeklank , klanken
superego , vaardigheid
verslaan , wezen
dragen , voeren
olijf , olijfboom
schaken , spelen
parallelepipedum , prisma
Golf van Mexico , golf
stuk , taal
middel , middel
leguaan , stootkussen
kapittel , conventie
broeinest , haard
stembriefje , papier
schoenpoets , poetsmiddel
ik spreek geen Engels , minderen
git , bruinkool
zwaartepunt , centrum
worm , insect
boerenbruin , poen
waterrat , bruine rat
reader , figuur
vergoddelijken , vereren
keukenmachine , kookgerei
inpassen , zetten
plaatsgebrek , imperfectie
kapsones , bedrijvigheid
Dubai , havenstad
vleugel , orgaan
shelter , tent
bebouwing , alteratie
landarbeid , werk
schietgat , gat
sjasliek , gerecht
eindredacteur , redactrice
opbranden , platbranden
lei , lijst
verheimelijken , houden
plutocraat , miljonair
antisemiet , racist
papegaaiekooi , vogelkooi
ontleden , opensnijden
bondscoach , manager
huisdier , gedierte
looddamp , benzinedamp
individualisme , attitude
vechter , toestel
wrakstukken , partij
insluiten , raken
Lotuseter , dagdromer
koopman , koopman
overbruggen , samenvoegen
bekloppen , uitspitten
rubberzool , vlak
pinnen , voeden
rijmschema , taaluiting
Zweed , onderdaan
opkikkeren , beteren
sporenelement , chemisch element
prime time , uur
Noorman , ingezetene
openslaan , ontsluiten
woestijn , laagvlakte
voedingspreparaat , preparaat
uitblazen , rusten
trema , interpunctieteken
bijwerking , alteratie
weerbaarheid , intensiteit
figureren , optreden
bekleding , bezigheid
scheermesje , kling
mahonie , boom
opknappen , werken
ongelukkigheid , gemoedsbeweging
omrekenen , berekenen
ecstasy , hallucinogeen
verkeersbrigadier , helpster
Karsavina , danser
frustratie , obstructie
vaststellen , bepalen
gast , genodigde
leenman , ondergeschikte
Tadzjieks , Iraniër
wielerbaan , baan
woofer , loudspeaker
plasmafysica , natuurkunde
wierookgeur , aroma
reformhuis , zaak
zoetigheid , verrichting
leiden tot , tot stand komen
eenpersoonskamer , kamer
kapotslaan , doden
knippen , snijden
staak , stelt
bastaardwoord , woord
ondersteuner , supporter
fokmerrie , merrie
aantrekken , rekenen
bezorger , loontrekker
exporteren , transporteren
inzoomen , opnemen
afasie , aandoening
dom , godshuis
misantroop , grompot
luchtpost , post
wasmand , mand
relschopper , stokebrand
pellen , tafelgoed
knibbelen , negotiëren
abnormaliteit , vreemdheid
noodlanding , noodlanding
waar , groep
achterhoedegevecht , tweegevecht
pseudo-vogelpest , ziekte
Astaire , choreograaf
verdrag , dictum
achteruit , versnelling
samarium , metaal
damesmode , vormgeving
break , daad
Borneo , enclave
stoven , klaarmaken
Edinburgh , hoofdstad
periferie , vlak
overstromingsvlakte , laagvlakte
aankoopsom , geldsom
dekzwabber , zwabber
houthakken , slaan
mineraalwater , drinkwater
organiseren , beheren
tikken , raken
fallussymbool , taaluiting
constellatie , toestand
beheren , opwegen
basofiel , witte bloedcel
symboliek , algemeen
vest , sweatshirt
eikeboom , boom
patriarchaat , sociaal systeem
vorst , ijs
voordracht , performance
expeditie , workshop
veulenen , bevallen
bergingswerken , verplaatsing
opdringen , toebrengen
vragensteller , taalgebruiker
speleoloog , connaisseur
discount , reductie
ontregeling , storing
gemeente , bevolkingsgroep
schijf , kwantiteit
zorg , leuningstoel
schutblad , blad
overhoren , nagaan
koffiekopje , tas
stopcontact , opening
studentenflat , kamer
racebaan , baan
binnenland , district
handdruk , bedankje
lagerbier , biertje
houtkap , afbreken
aanpakken , beetpakken
nutatie , knik
buschauffeur , bestuurder
afratelen , meedelen
gokken , riskeren
ijzeren man , pief
cursusjaar , jaar
palissander , boom
veroordelen , verklaren
spel , match
viola da gamba , vedel
Smollett , schrijfster
zeevruchten , zeebanket
slinger , hefboom
kustwateren , waterweg
bijbenen , volgen
prijzenswaardigheid , waardigheid
begeleider , kameraad
smeerpijp , pijpleiding
preserveren , assisteren
beplakken , bedekken
verjaardagstaart , cake
donatisme , christendom
kunstnijverheid , industrie
vleesschotel , ding
Aischylos , toneelschrijver
illustratie , prent
serif , streep
koper , inkoper
temperament , stemming
collectant , hulp
hoepel , velg
hakken , versnijden
trekking , loting
orderegel , voorschrift
handwerk , handwerkje
magnesia , delfstof
scherf , gedeelte
keveren , rusten
aanhouding , opsluiting
sadomasochisme , sadisme
niesbui , fithaak
onderkoeling , temp
opgooi , worp
vaargeul , landje
bontvoering , lat
oliejas , Mac
overall , kledingstuk
inboezemen , invoegen
meerduidigheid , ambiguïteit
afronden , veranderen
Esau , jongen
alt , zangstem
anjer , bloempje
parterre , verdieping
pakje , geschenk
kuren , beteren
speelgoedtrein , ding
slag , route
eigennaam , zelfstandig naamwoord
zelfstudie , studie
eilandbewoner , ingezetene
soppen , bedrukken
koperwiek , vogeltje
tannine , zuur
schooladviesdienst , wegrestaurant
dienstensector , branche
dalen , veranderen
flodder , kledingstuk
gehenna , eeuwige
inboeten , verliezen
rolstoel , crapaud
ondergaan , keren
sigarenas , resten
uitloop , einde
vondst , verrichting
voorzorg , het voorkomen
besturen , toepassen
Duff , pudding
animisme , religie
dubbelen , bedekken
microseconde , tijdseenheid
rechttrekken , veranderen
bark , kiel
radiowagen , truck
jadeïet , delfstof
troposfeer , sfeer
schilder , vakman
boerde , komedie
euvel , ontwikkeling
talent , macht
Durban , moederstad
retrograde amnesie , geheugenverlies
wortelstok , stengel
homoniem , woord
verhitting , verwarming
werkgelegenheidsbeleid , regering
kriek , biertje
courgette , pompoen
woestijnzand , zand
schuur , constructie
grammaticus , linguïst
stroomdraad , geleider
valletje , doek
protectionisme , economisch beleid
ingebruikneming , verwerving
pioenroos , bloem
doodschieten , doden
studentenvereniging , vereniging
remigratie , wederkomst
inboezemen , strelen
ontlasting , excreten
winterkleren , goed
verduidelijking , verheffing
band , ding
cursiefje , column
bijenkorf , verblijf
tafelpoot , been
namiddag , periode
pogoën , dansen
bolero , volksdans
praktijkervaring , ondervinding
raadselachtigheid , onbegrijpelijkheid
propositie , mededeling
crème , smeer
mentor , helpster
noteren , schrijven
damspel , bordspel
zaal , vertrek
arbeidsverhouding , relatie
omvormer , automobiel
luchtkasteel , fantasie
beet van een slang , beet
swingen , dansen
engelwortel , kruid
valsnelheid , vaart
ai , rede
tweevleugeligen , insect
kwartaal , gedeelte
laksheid , karaktertrek
schoorsteen , pijp
tewerkstellen , beïnvloeden
bekomen , sluiten
mark , munteenheid
Normandiër , ingezetene
vlieggewicht , bokser
primitiviteit , natuur
middel , het wezen
dichtheid , level
sublimeren , veredelen
meezeulen , transporteren
ruggenwervel , wervel
flageolet , blokfluit
flap , gedeelte
omslag , gereedschap
corpus , verzameling
DeMille , filmproducent
Gasthuis , huisje
crimineel , overtreder
motorjacht , motorschip
controleren , elektra
inbedden , charteren
bladknop , voortplantingsorgaan
aceton , medium
verhouden , thuishoren
Northamptonshire , gewest
gepastheid , eerbiedwaardigheid
shag , tabaksplant
uitbreiden , meerderen
kletsverhaal , kroniek
hek , ding
elektromagnetische straling , straling
situatieschets , prent
beethebben , inlappen
nucleon , deeltje
goudhaantje , kever
regering , leiding
waterdam , hek
verkillen , keren
bijlichten , assisteren
gidsen , voeren
loodsen , voeren
vak , plaats
eenvoud , hoedanigheid
overweldigen , aanvallen
klimmer , sporter
constitutie , het wezen
bioterrorisme , terrorisme
aandraaien , frapperen
producer , oorzaak
zijde , vlak
uitzege , winst
bevlekken , veranderen
boezeroen , schort
herwerken , bewerken
Hilbert , wiskundige
dienstbaarheid , slavernij
wand , laag
mest , feces
leunstoel , leuningstoel
welvaartsmaatschappij , samenleving
versplintering , kernreactie
overheidspersoneel , personeel
scherpschutter , scherpschutter
middellijn , touw
presidentschap , betrekking
bliksemen , zakken
reu , joekel
veld , landje
blowen , scoren
boekentaal , communicatie
kruitvat , ton
geldwisselaar , figuur
logopedie , les
CDA , partij
vijfde colonne , zelfstandigheid
coca , groen
bewaarder , zaakwaarnemer
Oostenrijker , onderdaan
toneelschrijver , schrijfster
uitbundigheid , blijheid
opdienen , assisteren
Gibraltar , landpunt
Daumier , kunstschilder
kustvaart , scheepvaart
beul , doder
kwantiteit , het wezen
blik , bus
Tideway , zee-engte
middenschip , area
afsterven , uitteren
publikatie , verspreiding
repeteren , oefenen
eengezinswoning , huisvesting
ontwrichten , uithollen
videocamera , apparaat
vliegenzwam , plaatzwam
grootspraak , interpretatie
stamhuis , tak
beginaccent , accent
chemische substantie , materiaal
pleegzorg , zorg
snaarinstrumenten , ketting
begroeiing , bekleding
etnische zuivering , actie
knoeier , onbevoegde
verhalen , vertellen
tingelen , uitklinken
toehoorder , leerling
rusten , beter
joyrider , overtreder
zeevenkel , kruid
hervormingsbeweging , sociale beweging
boeken , feit
verkalken , overvloeien
raspen , fijnmaken
gepeupel , groep
volksreferendum , stemming
sakkeren , mopperen
python , slang
grens , wildernisgebied
woonkern , stadsdeel
winkelhaak , gereedschap
skiff , roeiboot
kokosnoot , vrucht
overstappen , wisselen
tocht , reis
huissleutel , sleutel
positief , prent
koopman , handelaar
gang , weg
aasdier , kever
benaming , eigennaam
doorbladeren , speuren
wolkam , kam
rosé , druivenat
regeringsgebouw , constructie
handwerk , product
middenveld , team
aanroepen , vragen
advocatuur , ribbel
fotoserie , beschrijving
calvarieberg , crime
gevolmachtigde , manager
boommarter , marter
uitsluiting , oppositie
tweestrijd , onzekerheid
gebedsdienst , liturgie
keuren , de hersens inspannen
stereo , geluidsweergave
dierlijke natuur , aard
raamakkoord , concordantie
rechtvaardigheid , gerechtigheid
Sperry , technicus
overheidsinstelling , administratie
opgroeien , groeien
interlinie , reep
volkshuisvesting , huisvesting
Principe , enclave
afrasteren , omheinen
klif , kantje
schudden , veranderen
rijbewijs , papier
schuiftrombone , bugel
Utrechtenaar , mietje
cavia , knaagdier
zijderups , rups
traagheid , vaart
pensiongast , genodigde
patroon , beschermhuls
stapelhuis , opslag
doortrekken , overspringen
terechtwijzen , bejegenen
scherpheid , vorm
gunnen , laten
zuidgrens , grenslinie
boom , schema
coveren , uitvoeren
Onze-Lieve-Heer , het wezen
Aristoteles , filosoof
voorhoofd , eigenschap
gems , leder
openheid , bereidwilligheid
visvergunning , vergunning
dragen , schoren
verfborstel , stoffer
muskusrat , knaagdier
lekkerbek , minnaar
gerookte haring , haring
geënquêteerde , figuur
matrasbeschermer , beddengoed
houtstapel , stapel
atropine , alkaloïde
bruidsmeisje , tante
wegvluchten , knijpen
therm , warmte-eenheid
televisieploeg , bemanning
verticuteerhark , apparaat
oorsmeer , boenwas
soortelijke massa , densiteit
roven , roven
maandsalaris , gage
bef , kraag
geus , tegenpartij
koopvaardijschip , vliegtuigmoederschip
inlegwerk , patroon
pot , duiten
neiging , richting
friteuse , pan
roddelcircuit , clan
kandidaatstelling , voordracht
menstrueren , keren
gevangenschap , opsluiting
status , status
Sjanghai , havenstad
reactionair , conservatief
tongval , uitspraak
vernietigen , cancelen
houtstof , celstof
noordwestenwind , stroom
politisering , beweging
transformeren , veranderen
verkopen , opruiming
demping , mindering
handwerken , bewerken
verbondsark , kist
parallellie , evenwijdigheid
rivierdelta , riviermond
nest , verblijf
stieren , aframmelen
rustplaats , plaats
roetsjbaan , trekker
tandengeknars , geluid
niet-lid , vreemde
uitvegen , strijken
aanlopen , ontdekken
laagseizoen , seizoen
jodelaar , zangeres
plankenkoorts , angst
schaapherder , herder
steilte , helling
buitenhoek , invalshoek
aankloppen , vragen
transportbedrijf , vennootschap
bekeren , veranderen
desambigueren , duiden
oude zeur , oudere
adviesprijs , prijs
eettafel , tafel
overrijden , aanrijden
fietstaxi , driewieler
vastklinken , borgen
handhaven , bevestigen
mees , zangvogel
waterval , water
oncoloog , specialist
band , lintje
afgelasting , mededeling
zeen , bindweefsel
bosneger , moor
cel , strafcel
buffet , meubilair
vedette , beroemdheid
spatten , klungelen
trimpak , pak
synergie , samenwerkingsverband
mitella , gereedschap
lendendoek , kledingstuk
antroponiem , eigennaam
halm , stengel
kabinet , kunstgalerij
snotneus , olielampje
aftroggelen , ontstelen
stichten , aanleren
kersenboom , boom
beeltenis , prent
plakken , lappen
groothandel , vennootschap
transcriberen , translitereren
vaatvlies , vlies
tegengestelde , antithese
looderts , erts
plakletter , taaluiting
thulium , metaal
platenindustrie , branche
oregano , kruid
scheider , apparaat
blazoen , heraldiek
piëzometer , sonde
bit , maat
spruiten , kiemen
zonnebloemolie , aardolie
context , toestand
herverdeling , verspreiding
drijven , verplaatsen
vercommercialiseren , veranderen
verkleden , wisselen
geheime politie , prinsemarij
Leeuw , figuur
notendop , omhulsel
vinder , nalever
Lissabon , havenstad
zelfvertrouwen , eergevoel
sacharine , zoetstof
penetreren , overspringen
beet , verwonding
wrak , vervoer
ceremonie , bezigheid
presentatie , kennismaking
giro , hoofdlijn
inundatie , overvloeiing
spoelen , overspringen
vetergaatje , bres
keet , constructie
hulpvaardigheid , bereidheid
geloofwaardigheid , geloofwaardigheid
dynamo , aggregaat
broeien , verontrusten
bar , maat
huwelijksreis , reis
fokkenmaat , varensman
afronden , eindigen
tas , ding
pluimstaart , bundel
desavoueren , verklaren
brandveiligheid , veiligheid
betaalcheque , sketch
triplex , hout
chiffon , textiel
kam , groep
advocaat , pleiter
energiebesparing , mindering
verhuizing , alteratie
overschoen , galoche
Ceftin , mefoxine
fotojournalist , nieuwsgaarder
correctie , bewerking
aanhalingsteken , interpunctieteken
safe sex , lijfsgemeenschap
plan de campagne , idee
arena voor stierengevechten , stadion
inspireren , maken
vossengat , gat
opvoeding , erfdeel
noodzaak , verdrag
angelologie , theologie
impressionisme , zin
verwoesten , kapotmaken
afronden , vervangen
campagne , periode
teruggaan , keren
jampot , pot
schans , helling
sinus , plaats
heerser , figuur
consulent , raadsvrouw
haan , oor
waarnemen , aanschouwen
flora , gewas
verliespunt , punt
egel , zoogdier
entree , prijs
Flavin , keton
ruilen , wisselen
ven , vijver
halsmisdaad , wetsdelict
dierenbeschermer , lid
kepie , pet
organisatievermogen , vaardigheid
forum , groep
picknicken , vreten
leerstof , thema
halvering , deling
rattenkop , kapsel
eigendomsbewijs , bewijsstuk
Nedersaksen , provincie
miezeren , zakken
Loire , stroom
vrucht , fruit
alarmcentrale , instelling
spaanplaat , materie
telecommunicatie , communicatie
grondbezit , Gentry
sick joke , koddigheid
steunbalk , bint
Nigeriaans , Afrikaanse
voorwiel , stuur
guillotine , apparaat
judo , sport
freelancer , loontrekker
maatschap , aanbesteding
zegeteken , prijs
garantiebewijs , bewijsstuk
hobbyist , amateur
omleiden , voeren
uitdrukken , aantonen
horizonvervuiling , alteratie
Duif , constellatie
trend , manieren
walhalla , Acheron
gastro-enteroloog , pil
omklappen , zakken
kwabbe , vet
verbouwen , kweken
agglutinogeen , antigen
pan , dal
verklikken , voorlichten
medaille , insigne
afslaan , voortbewegen
leeuw , figuur
professor , academielid
verifiëren , nagaan
analfabetisme , onvermogen
duiker , zwemster
aandelenkapitaal , boekwaarde
kraken , overtreden
Numeri , boek
enthousiasteling , supporter
onbekende , variabele
kaas , zuivel
voetballer , anemograaf
wiegen , bewegen
matinée , toneelopvoering
accolade , interpunctieteken
liflafje , knabbeltje
doven , ophouden
partnerruil , swap
buurtwacht , groep
woedeaanval , fithaak
veilinghuis , vennootschap
tijd , periode
ontwatering , riolering
vernedering , krenken
mededelen , meedelen
ijshockey , hockey
ensceneren , inrichten
coureur , beoefenaar
mess , restaurant
derwisj , fakir
dermatoloog , specialist
kalebas , kalabas
alfa , sterretje
tas , container
leeftijdsklasse , volk
collega , gildebroeder
terugleggen , zetten
rammelaar , konijn
opnieuw bezoeken , retourneren
wassalon , wasinrichting
Fatihah , soera
mimiek , spel
botter , vissersschip
kasserol , braadpan
boekwinst , winst
kaartlezen , lezen
bomaanslag , aanval
bevolken , vertoeven
ABP , pensioenfonds
Cornwall , gewest
sliert , garen
madera , druivenat
personaliseren , veranderen
gastplant , organisme
rotskust , kantje
jungle , bosje
geval , zaak
versuffen , veranderen
inleveren , geven
longen , ademhalingsorgaan
opvragen , vragen
buis , gedeelte
verwinteren , doorkomen
skistok , hulpje
uitroeien , spelen
stuifzand , zand
kerkklok , bel
weldoen , assisteren
samentellen , opsommen
KSO , onderricht
tegenspoed , crime
paralyseren , veranderen
typemachine , apparaat
uitvlokken , verdikken
afhaalrestaurant , restaurant
picaro , dievegge
speelruimte , ruimte
reidans , stijldans
aanspraak maken op , vragen
parelhoen , vogeltje
huldigen , rondstrooien
glacé , handschoen
smaldeel , vlooteenheid
singel , straat
schildering , schilderij
gammastraling , elektromagnetische straling
suïcide , mortificatie
vaarbewijs , bewijsstuk
brandstof , middel
devotie , consideratie
opschieten , handelen
handschrift , titel
spreidstand , beweging
grofheid , onbeleefdheid
inschakelen , werken
afrikaanse olifant , dikhuid
tandradbaan , sneltreinprocedure
bezoedeling , onreinheid
punt , einde
hopen , begeren
uitwijking , trek
laster , taaldaad
nieuwe maan , maanfase
zangpartij , muziekstuk
geloofsgenoot , acoliet
gemeentepils , zoetwater
staartstuk , bijvoegsel
inschatten , de hersens inspannen
Azteek , ingezetene
kinderkleren , goed
krieuwelen , minnekozen
spoel , preservatief
interval , periode
vuurpijl , vuurwerk
antiekbeurs , beurs
aanranden , overweldigen
vlammenwerper , wapen
fistel , abces
facet , plaats
westerling , ingezetene
trottoirtegel , steen
loshangen , hangen
sleutel , teken
slotkoers , marktprijs
keuze , keuze
technicus , figuur
middenkader , leiding
exactheid , nauwkeurigheid
kantelen , draaien
aromatiseren , zetten
mandoline , zich bescheuren
worst , worst
tegenwerpen , voorlichten
professional , kracht
lommerdhouder , geldschieter
abaya , bovenkleren
vermenselijken , veranderen
aanbeveling , raadgeving
ganzelever , levertjes
eierwekker , uurwerk
herinnering , ding
duin , heuvel
overleggen , confereren
Levantijn , oostenwind
knop , uitsteeksel
verwikkeling , spiraal
vuur , gewelddadigheid
andijvie , kruid
pils , biertje
dok , aanlegplaats
reder , bezitter
Draak , constellatie
basilicum , kruid
behandelen , bewerken
aanmoedigen , maken
knuffelen , raken
ruimen , verplaatsen
penbankhamer , hamer
ontploffing , ontploffing
tinctuur , oplossing
tak , gedeelte
beklijven , bijblijven
knipselkrant , tijdschrift
ingenieurswetenschap , kamer
weefgetouw , apparaat
lijst , informatiebank
avontuurtje , promiscuïteit
oogrok , oogwit
Alexandrië , moederstad
sauriër , gedierte
verschonen , aankleden
overwinningsfeest , vreugde
platliggen , rusten
hoofdgerecht , gang
felser , bekleding
subcontinent , landmassa
zitten , werken
rollen , overspringen
polygamie , huwelijk
saboteren , belemmeren
slijten , verweken
tie-break , verlenging
bijslaap , wederhelft
overkomen , winnen
publieksprijs , buit
achteruitschuiven , schuiven
onsportiviteit , misstand
desisteren , vaarwelzeggen
baleinwalvis , walvis
hypotheekrente , geldsom
sloop , vennootschap
vrede , pact
draadklem , stabilisator
hyperventileren , voortbewegen
aankomen , helpen
kardemom , smaakmaker
scheepsbeschuit , biscuit
professional , sporter
tamboerijn , kalfsvel
meloen , kalabas
Laotiaan , onderdaan
heilbot , platvis
schotzalm , schotzalm
kwintet , muziekgroep
debetstand , sketch
kopiïst , loontrekker
aspartaam , zoetstof
beroepsofficier , krijgsman
uitgeven , werken
demilitarisatie , eliminatie
monument , gelegenheid
onovergankelijk werkwoord , verbum
kwartrust , rust
doven , doven
kroonluchter , lamp
pinkstergemeente , bevolkingsgroep
membraan , vlies
terminal , zeehaven
transporteur , entrepreneur
soort , het wezen
pissen , afscheiden
Stier , constellatie
bedrijf , handelsgeest
revisionisme , streven
lijsterbes , fruit
gewicht , maat
Schot , Schotse
verzilting , toename
ratatouille , assortiment
gerief , het wezen
VARA , omroep
deler , getal
smokken , bewerken
amplitude , getal
symptoom , verschijnsel
gedachtenwereld , modus
betekenaar , woord
geldigheid , wettigheid
kapelaan , predikant
lievelingsgerecht , gerecht
basisidee , grondbeginsel
slotakte , bedrijf
onbeleefdheid , onbeleefdheid
kunstenaar , schepper
calorimetrie , meting
bulgarije , land
proppenschieter , ding
ontstentenis , imperfectie
hell-haan , strijder
privilege , inwilliging
onzinverhaal , leugentje
epigram , vers
diabolo , groep
dans , vermaak
sniffen , aanzuigen
verwerven , verkrijgen
visum , papier
communicant , acoliet
chloor , chemisch element
teken , teken
huurder , huurder
gang , loop
galadiner , eten
registratie , verklaring
afslag , baan
walsen , doodskop
bacterioloog , connaisseur
pastorie , residentie
ontrafelen , tenietdoen
slepen , overspringen
kleuterschool , instelling
Antilliaan , ingezetene
compileren , samenvoegen
oudheidkamer , museum
lijst , kader
patriarchaat , heerschappij
materialist , figuur
vrouwenclub , vereniging
doelvlak , area
vluchtleiding , leiding
heilige graal , miskelk
weghollen , overspringen
Tangshan , moederstad
doorzonwoning , huisvesting
poster , schild
niet-lid , figuur
waarnemen , vervangen
Kroate , Slavische
uitbraakpoging , onderneming
autodief , overtreder
verjagen , versmaden
slaapcoupé , vak
stop , verstopping
paradijs , plaats
taxidermie , artisticiteit
chemisch element , stof
verzoeker , verzoeker
grondboor , drilboor
Ier , onderdaan
pijnappel , fruit
spiegelglas , blad
lineaire algebra , stelkunde
rusten , geloven
mobiel , beeldhouwwerk
mysteriespel , toneelspel
reuzenmolecule , molecule
levensloop , verloop
verontrusten , keren
hennep , hennep
restitutie , betaling
pimpelaar , dronkeman
kwaadheid , gemoedsbeweging
afkicken , eindigen
reep , touw
monument , ontwikkeling
naad , verbindingsstuk
edelweiss , Wildflower
stratigrafie , geologie
streep , taal
toeverlaat , steun
Watergate , schandaal
fijnwrijven , strijken
gebreide artikelen , goed
nietmachine , automobiel
kalendermaand , tijdseenheid
lokkertje , het wezen
antecedent , feit
flesje , fles
kamergenoot , deelgenoot
Transfiguratie , alteratie
gedenkplaat , grafteken
commandotroepen , legerafdeling
sporangium , voortplantingsorgaan
gegevensstructuur , systeem
samentrekken , samenvoegen
maandag , weekdag
logeerkamer , slaapkamer
visualiseren , weergeven
reageren , aantonen
huisarts , pil
aanhouden , luisteren
spectrograaf , fotografie
uitbreken , aanvallen
schild , blad
verplaatsing , alteratie
Boulez , toonzetter
sepia , pigment
afschieten , aanschieten
ordeverstoring , verstoring
vuurstoot , salvo
tred , loop
dichtplakken , dichtdoen
uitstaan , ogen
kwijlen , stromen
doorlaatbaarheid , poreusheid
gewaad , kledij
uit de kast komen , blootleggen
Pareto , socioloog
buigen , leiden
megafoon , apparaat
gewelddadigheid , mishandeling
eruittrappen , scheppen
rumboon , traktatie
draagkracht , vaardigheid
arbeidscontractant , loontrekker
kruisiging , terechtstelling
afdrijven , zweven
kolomnist , nieuwsgaarder
nop , getal
hobbelen , dansen
clou , streep
kronkeldarm , gedeelte
luchtverkenning , verkenning
anticonceptiepil , ding
rag , garen
stuur , stang
ontzetten , bewegen
week , tijdseenheid
terugschieten , scheppen
rissen , voortbewegen
strafschopgebied , regio
brouwen , aantonen
zweer , blessure
ruishoorn , slak
pop , speeltje
Cubaan , onderdaan
goteling , strijkijzer
onverlaat , boosdoener
lingua franca , Koinè
vertaalwerk , bewerking
magere melk , melk
doen , bezighouden
optillen , voortbewegen
zweefbaan , vak
troel , jongeling
representatie , verrichting
grafiek , schema
Katharen , sekte
profylaxe , het voorkomen
Jaïnisme , religie
crediteur , figuur
verpleging , reparatie
snowboard , plaat
gehoorzaal , area
duiden , van plan zijn
huishouden , uitklinken
afzijdigheid , attitude
stencil , minuut
sabeldier , stoffer
culmineren , uitpakken
verpakking , bedrijf
wringer , apparaat
spiegelreflexcamera , camera
fout , gedachte
proefballon , ballon
hondenpoep , feces
perineum , streek
sikkel , curve
gezelligheidsdier , figuur
conjunctie , conjunctie
refrein , vers
polder , landen
opruimingsuitverkoop , opruiming
dimlicht , licht
schedel , gedeelte
omzetdaling , mindering
linkerhand , klavier
kamp , legerkamp
kwakzalver , nar
literatuurprijs , buit
chromosfeer , sfeer
hoofdlijn , betekenis
soeplepel , vat
maïzena , stijfsel
versterf , imperfectie
stralingsenergie , energie
Panatela , sigaar
lei , dakbedekking
Hesiodus , dichter
trommelvel , filter
wegebben , verdwijnen
Fransman , Europeaan
eindexamenprogramma , thema
zak , geslachtsdelen
digitaliseren , veranderen
brandgordijn , toneelgordijn
sprot , sardine
walnotenboom , boom
doorslaan , onderbreken
halfgod , godin
cognaat , verwant
postpakket , vrachtstuk
stampen , fijnmaken
geluid , zin
afvallen , keren
ezel , zoogdier
hakken , meedelen
adviseren , overleggen
Steenbok , figuur
thriller , horror
lemmer , schepbord
strandkleding , goed
klanknabootsing , woord
inkijk , gewaarwording
Mazzini , patriot
roos , mikpunt
erectie , stugheid
oenologie , artisticiteit
leerjongen , beginneling
bouwkeet , constructie
hypochonder , zieke
zweepdiertje , protozoa
schakelen , werken
thermostaat , apparaat
ondertitel , eigendomsbewijs
